 GRID IS READ
 METRIC IS CALCULATED
 INITIAL SOLUTION IS GENERATED
 HYDROSTATIC PRESSURE IS CALCULATED 
 CONVERGENCE HISTORY FILES ARE OPENED
     202 0.764E-04 0.354E-04 0.181E-04 0.000E+00
     203 0.590E-04 0.485E-04 0.218E-04 0.000E+00
     204 0.577E-04 0.362E-04 0.226E-04 0.000E+00
     205 0.521E-04 0.306E-04 0.172E-04 0.000E+00
     206 0.521E-04 0.295E-04 0.156E-04 0.000E+00
     207 0.541E-04 0.274E-04 0.143E-04 0.000E+00
     208 0.505E-04 0.248E-04 0.127E-04 0.000E+00
     209 0.505E-04 0.354E-04 0.155E-04 0.000E+00
     210 0.469E-04 0.299E-04 0.267E-04 0.000E+00
     211 0.433E-04 0.406E-04 0.122E-04 0.000E+00
     212 0.505E-04 0.270E-04 0.122E-04 0.000E+00
     213 0.469E-04 0.382E-04 0.113E-04 0.000E+00
     214 0.396E-04 0.279E-04 0.204E-04 0.000E+00
     215 0.433E-04 0.365E-04 0.208E-04 0.000E+00
     216 0.448E-04 0.319E-04 0.190E-04 0.000E+00
     217 0.312E-04 0.369E-04 0.159E-04 0.000E+00
     218 0.300E-04 0.267E-04 0.202E-04 0.000E+00
     219 0.261E-04 0.293E-04 0.149E-04 0.000E+00
     220 0.261E-04 0.240E-04 0.167E-04 0.000E+00
     221 0.172E-04 0.342E-04 0.115E-04 0.000E+00
     222 0.195E-04 0.240E-04 0.146E-04 0.000E+00
     223 0.201E-04 0.245E-04 0.162E-04 0.000E+00
     224 0.187E-04 0.224E-04 0.122E-04 0.000E+00
     225 0.198E-04 0.209E-04 0.169E-04 0.000E+00
     226 0.187E-04 0.228E-04 0.151E-04 0.000E+00
     227 0.146E-04 0.231E-04 0.146E-04 0.000E+00
     228 0.171E-04 0.229E-04 0.104E-04 0.000E+00
     229 0.187E-04 0.226E-04 0.986E-05 0.000E+00
     230 0.174E-04 0.204E-04 0.127E-04 0.000E+00
     231 0.164E-04 0.254E-04 0.138E-04 0.000E+00
     232 0.138E-04 0.222E-04 0.124E-04 0.000E+00
     233 0.117E-04 0.194E-04 0.133E-04 0.000E+00
     234 0.112E-04 0.207E-04 0.115E-04 0.000E+00
     235 0.110E-04 0.169E-04 0.124E-04 0.000E+00
     236 0.139E-04 0.191E-04 0.105E-04 0.000E+00
     237 0.145E-04 0.302E-04 0.142E-04 0.000E+00
     238 0.144E-04 0.225E-04 0.124E-04 0.000E+00
     239 0.139E-04 0.238E-04 0.153E-04 0.000E+00
     240 0.139E-04 0.238E-04 0.130E-04 0.000E+00
     241 0.138E-04 0.203E-04 0.166E-04 0.000E+00
     242 0.127E-04 0.254E-04 0.143E-04 0.000E+00
