 GRID IS READ
 METRIC IS CALCULATED
 INITIAL SOLUTION IS GENERATED
 HYDROSTATIC PRESSURE IS CALCULATED 
 CONVERGENCE HISTORY FILES ARE OPENED
     246 0.999E-01 0.429E-01 0.273E-01 0.000E+00
     247 0.947E-01 0.393E-01 0.308E-01 0.000E+00
     248 0.927E-01 0.419E-01 0.271E-01 0.000E+00
     249 0.867E-01 0.385E-01 0.306E-01 0.000E+00
     250 0.846E-01 0.407E-01 0.269E-01 0.000E+00
     251 0.787E-01 0.381E-01 0.303E-01 0.000E+00
     252 0.789E-01 0.399E-01 0.266E-01 0.000E+00
     253 0.813E-01 0.375E-01 0.300E-01 0.000E+00
     254 0.810E-01 0.393E-01 0.263E-01 0.000E+00
     255 0.830E-01 0.367E-01 0.296E-01 0.000E+00
     256 0.821E-01 0.383E-01 0.259E-01 0.000E+00
     257 0.837E-01 0.360E-01 0.292E-01 0.000E+00
     258 0.822E-01 0.383E-01 0.255E-01 0.000E+00
     259 0.830E-01 0.355E-01 0.286E-01 0.000E+00
     260 0.809E-01 0.373E-01 0.252E-01 0.000E+00
     261 0.808E-01 0.349E-01 0.280E-01 0.000E+00
     262 0.781E-01 0.370E-01 0.247E-01 0.000E+00
     263 0.768E-01 0.345E-01 0.274E-01 0.000E+00
     264 0.737E-01 0.368E-01 0.242E-01 0.000E+00
     265 0.713E-01 0.340E-01 0.268E-01 0.000E+00
     266 0.679E-01 0.370E-01 0.236E-01 0.000E+00
     267 0.717E-01 0.338E-01 0.263E-01 0.000E+00
     268 0.644E-01 0.371E-01 0.231E-01 0.000E+00
     269 0.723E-01 0.335E-01 0.257E-01 0.000E+00
     270 0.647E-01 0.373E-01 0.226E-01 0.000E+00
     271 0.720E-01 0.333E-01 0.251E-01 0.000E+00
     272 0.636E-01 0.372E-01 0.219E-01 0.000E+00
     273 0.703E-01 0.330E-01 0.245E-01 0.000E+00
     274 0.622E-01 0.371E-01 0.214E-01 0.000E+00
     275 0.704E-01 0.327E-01 0.239E-01 0.000E+00
     276 0.679E-01 0.370E-01 0.208E-01 0.000E+00
     277 0.763E-01 0.324E-01 0.232E-01 0.000E+00
     278 0.773E-01 0.366E-01 0.202E-01 0.000E+00
     279 0.846E-01 0.319E-01 0.227E-01 0.000E+00
     280 0.855E-01 0.360E-01 0.196E-01 0.000E+00
     281 0.919E-01 0.314E-01 0.219E-01 0.000E+00
     282 0.925E-01 0.355E-01 0.189E-01 0.000E+00
     283 0.978E-01 0.307E-01 0.212E-01 0.000E+00
     284 0.981E-01 0.347E-01 0.183E-01 0.000E+00
     285 0.102E+00 0.300E-01 0.205E-01 0.000E+00
     286 0.102E+00 0.336E-01 0.175E-01 0.000E+00
     287 0.106E+00 0.290E-01 0.197E-01 0.000E+00
     288 0.105E+00 0.325E-01 0.168E-01 0.000E+00
     289 0.107E+00 0.280E-01 0.189E-01 0.000E+00
     290 0.107E+00 0.314E-01 0.162E-01 0.000E+00
     291 0.108E+00 0.270E-01 0.180E-01 0.000E+00
     292 0.107E+00 0.298E-01 0.155E-01 0.000E+00
     293 0.107E+00 0.257E-01 0.171E-01 0.000E+00
     294 0.106E+00 0.284E-01 0.148E-01 0.000E+00
     295 0.105E+00 0.250E-01 0.162E-01 0.000E+00
     296 0.104E+00 0.267E-01 0.140E-01 0.000E+00
     297 0.102E+00 0.243E-01 0.152E-01 0.000E+00
     298 0.100E+00 0.250E-01 0.132E-01 0.000E+00
     299 0.969E-01 0.237E-01 0.143E-01 0.000E+00
     300 0.953E-01 0.249E-01 0.128E-01 0.000E+00
     301 0.910E-01 0.234E-01 0.135E-01 0.000E+00
     302 0.893E-01 0.264E-01 0.136E-01 0.000E+00
     303 0.840E-01 0.249E-01 0.145E-01 0.000E+00
     304 0.821E-01 0.280E-01 0.145E-01 0.000E+00
     305 0.835E-01 0.263E-01 0.156E-01 0.000E+00
     306 0.820E-01 0.294E-01 0.152E-01 0.000E+00
     307 0.830E-01 0.276E-01 0.166E-01 0.000E+00
     308 0.812E-01 0.306E-01 0.160E-01 0.000E+00
     309 0.817E-01 0.286E-01 0.176E-01 0.000E+00
     310 0.796E-01 0.317E-01 0.167E-01 0.000E+00
     311 0.797E-01 0.298E-01 0.184E-01 0.000E+00
     312 0.774E-01 0.327E-01 0.174E-01 0.000E+00
     313 0.769E-01 0.308E-01 0.192E-01 0.000E+00
     314 0.746E-01 0.334E-01 0.179E-01 0.000E+00
     315 0.738E-01 0.318E-01 0.198E-01 0.000E+00
     316 0.712E-01 0.341E-01 0.182E-01 0.000E+00
     317 0.700E-01 0.326E-01 0.201E-01 0.000E+00
     318 0.673E-01 0.347E-01 0.184E-01 0.000E+00
     319 0.654E-01 0.330E-01 0.203E-01 0.000E+00
     320 0.625E-01 0.350E-01 0.185E-01 0.000E+00
     321 0.597E-01 0.333E-01 0.204E-01 0.000E+00
     322 0.567E-01 0.349E-01 0.185E-01 0.000E+00
     323 0.537E-01 0.335E-01 0.204E-01 0.000E+00
     324 0.502E-01 0.351E-01 0.183E-01 0.000E+00
     325 0.538E-01 0.347E-01 0.203E-01 0.000E+00
     326 0.483E-01 0.372E-01 0.180E-01 0.000E+00
     327 0.550E-01 0.362E-01 0.200E-01 0.000E+00
     328 0.481E-01 0.387E-01 0.184E-01 0.000E+00
     329 0.584E-01 0.377E-01 0.196E-01 0.000E+00
     330 0.487E-01 0.404E-01 0.189E-01 0.000E+00
     331 0.611E-01 0.389E-01 0.192E-01 0.000E+00
     332 0.515E-01 0.416E-01 0.193E-01 0.000E+00
     333 0.628E-01 0.399E-01 0.193E-01 0.000E+00
     334 0.575E-01 0.425E-01 0.194E-01 0.000E+00
     335 0.640E-01 0.405E-01 0.199E-01 0.000E+00
     336 0.625E-01 0.432E-01 0.194E-01 0.000E+00
     337 0.662E-01 0.408E-01 0.207E-01 0.000E+00
     338 0.664E-01 0.433E-01 0.192E-01 0.000E+00
     339 0.693E-01 0.408E-01 0.213E-01 0.000E+00
     340 0.693E-01 0.433E-01 0.187E-01 0.000E+00
     341 0.713E-01 0.404E-01 0.216E-01 0.000E+00
     342 0.711E-01 0.428E-01 0.182E-01 0.000E+00
     343 0.723E-01 0.399E-01 0.216E-01 0.000E+00
     344 0.720E-01 0.421E-01 0.174E-01 0.000E+00
     345 0.723E-01 0.389E-01 0.214E-01 0.000E+00
     346 0.718E-01 0.409E-01 0.171E-01 0.000E+00
     347 0.714E-01 0.379E-01 0.210E-01 0.000E+00
     348 0.707E-01 0.394E-01 0.174E-01 0.000E+00
     349 0.696E-01 0.361E-01 0.210E-01 0.000E+00
     350 0.688E-01 0.375E-01 0.175E-01 0.000E+00
     351 0.670E-01 0.345E-01 0.208E-01 0.000E+00
     352 0.661E-01 0.353E-01 0.172E-01 0.000E+00
     353 0.637E-01 0.321E-01 0.203E-01 0.000E+00
     354 0.627E-01 0.327E-01 0.169E-01 0.000E+00
     355 0.605E-01 0.301E-01 0.196E-01 0.000E+00
     356 0.586E-01 0.301E-01 0.162E-01 0.000E+00
     357 0.601E-01 0.274E-01 0.189E-01 0.000E+00
     358 0.539E-01 0.273E-01 0.155E-01 0.000E+00
     359 0.604E-01 0.258E-01 0.179E-01 0.000E+00
     360 0.518E-01 0.253E-01 0.146E-01 0.000E+00
     361 0.611E-01 0.258E-01 0.168E-01 0.000E+00
     362 0.523E-01 0.250E-01 0.137E-01 0.000E+00
     363 0.626E-01 0.257E-01 0.155E-01 0.000E+00
     364 0.538E-01 0.246E-01 0.127E-01 0.000E+00
     365 0.652E-01 0.254E-01 0.152E-01 0.000E+00
     366 0.563E-01 0.242E-01 0.124E-01 0.000E+00
     367 0.679E-01 0.250E-01 0.152E-01 0.000E+00
     368 0.589E-01 0.236E-01 0.125E-01 0.000E+00
     369 0.703E-01 0.244E-01 0.152E-01 0.000E+00
     370 0.615E-01 0.230E-01 0.126E-01 0.000E+00
     371 0.724E-01 0.237E-01 0.150E-01 0.000E+00
     372 0.637E-01 0.223E-01 0.129E-01 0.000E+00
     373 0.747E-01 0.230E-01 0.153E-01 0.000E+00
     374 0.658E-01 0.216E-01 0.136E-01 0.000E+00
     375 0.770E-01 0.221E-01 0.163E-01 0.000E+00
     376 0.679E-01 0.210E-01 0.144E-01 0.000E+00
     377 0.796E-01 0.213E-01 0.172E-01 0.000E+00
     378 0.703E-01 0.208E-01 0.152E-01 0.000E+00
     379 0.827E-01 0.205E-01 0.180E-01 0.000E+00
     380 0.730E-01 0.211E-01 0.158E-01 0.000E+00
     381 0.860E-01 0.197E-01 0.187E-01 0.000E+00
     382 0.759E-01 0.212E-01 0.163E-01 0.000E+00
     383 0.896E-01 0.191E-01 0.193E-01 0.000E+00
     384 0.791E-01 0.211E-01 0.167E-01 0.000E+00
     385 0.932E-01 0.200E-01 0.198E-01 0.000E+00
     386 0.822E-01 0.210E-01 0.170E-01 0.000E+00
     387 0.968E-01 0.211E-01 0.202E-01 0.000E+00
